Symbol/Contract,Ord. Qty,Order Price
KAYNESEQ,6,5796.0
NAM-INDIAEQ,50,784.0
KFINTECHEQ,50,1274.0
VBLEQ,80,482.0
INDHOTELEQ,100,783.0
JUSTDIALEQ,60,935.0
JUSTDIALEQ,50,926.0
JUSTDIALEQ,40,914.0
INDHOTELEQ,45,774.0
NAM-INDIAEQ,35,774.0
BDLEQ,25,2080.0
CDSLEQ,11,1822.0
IRCONEQ,100,214.0
IRCONEQ,140,226.0
IRFCEQ,100,148.5
RVNLEQ,80,419.0
IGILEQ,30,408.0
ZENTECEQ,10,2065.0
RAILTELEQ,70,474.0
RAILTELEQ,60,468.0
RAILTELEQ,60,448.0
IGILEQ,50,388.5
BELEQ,100,408.0
TECHMEQ,10,1743.0
SOLARINDSEQ,1,17690.0
IREDAEQ,100,177.0
